"","ParkName","Year","RecreationVisitors","NonRecreationVisitors","RecreationHours","NonRecreationHours","ConcessionerLodging","ConcessionerCamping","TentCampers","RVCampers","Backcountry","NonRecreationOvernightStays","MiscellaneousOvernightStays","TotalRecreationVisitors","TotalNonRecreationVisitors","TotalRecreationHours","TotalNonRecreationHours","TotalConcessionerLodging","TotalConcessionerCamping","TotalTentCampers","TotalRVCampers","TotalBackcountry","TotalNonRecreationOvernightStays","TotalMiscellaneousOvernightStays"
"1","Acadia NP",1919,64000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"2","Acadia NP",1920,66500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"3","Acadia NP",1921,69836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"4","Acadia NP",1922,73779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"5","Acadia NP",1923,64200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"6","Acadia NP",1924,71758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"7","Acadia NP",1925,73673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"8","Acadia NP",1926,101256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"9","Acadia NP",1927,123699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"10","Acadia NP",1928,134897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"11","Acadia NP",1929,149554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"12","Acadia NP",1930,154734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"13","Acadia NP",1931,162238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"14","Acadia NP",1932,237596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"15","Acadia NP",1933,262712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"16","Acadia NP",1934,275956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"17","Acadia NP",1935,316114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"18","Acadia NP",1936,340393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"19","Acadia NP",1937,383036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"20","Acadia NP",1938,394319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"21","Acadia NP",1939,396468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"22","Acadia NP",1940,382084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"23","Acadia NP",1941,409961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"24","Acadia NP",1942,36544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"25","Acadia NP",1943,8246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"26","Acadia NP",1944,12916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"27","Acadia NP",1945,20200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"28","Acadia NP",1946,382390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"29","Acadia NP",1947,434069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"30","Acadia NP",1948,420846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
"31","Acadia NP",1949,438584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15703311966,5746606420,56174299855,3016954046,150967340,45931730,155154063,129331010,85756007,13923395,99878257
